Date,Ambev,Petro,Magalu,B3,Bradesco,Bova
2012-01-02 00:00:00-02:00,7.118586540222168,8.604889869689941,0.26185479760169983,2.089411735534668,6.661491394042969,57.029998779296875
2012-01-03 00:00:00-02:00,7.037455081939697,8.947165489196777,0.2601654529571533,2.125842809677124,6.80602502822876,58.400001525878906
2012-01-04 00:00:00-02:00,6.8738837242126465,9.011043548583984,0.2576309144496918,2.1644163131713867,6.8168768882751465,58.400001525878906
2012-01-05 00:00:00-02:00,6.737793922424316,8.90723991394043,0.2553783059120178,2.1408445835113525,6.773473262786865,57.61000061035156
2012-01-06 00:00:00-02:00,6.72078275680542,8.915225982666016,0.26241791248321533,2.1729884147644043,6.858119010925293,57.75
2012-01-09 00:00:00-02:00,6.707696437835693,9.034997940063477,0.25988340377807617,2.2072768211364746,6.875475883483887,58.25
2012-01-10 00:00:00-02:00,6.673675060272217,9.14279842376709,0.25622355937957764,2.2522788047790527,6.890665054321289,58.900001525878906
2012-01-11 00:00:00-02:00,6.673675060272217,9.146790504455566,0.2604465186595917,2.230849504470825,6.895010948181152,59.20000076293945
2012-01-12 00:00:00-02:00,6.703771114349365,9.214661598205566,0.26326224207878113,2.1879894733428955,6.8971757888793945,59.099998474121094
2012-01-13 00:00:00-02:00,6.712932109832764,9.20268440246582,0.26635977625846863,2.1665589809417725,6.773473262786865,58.20000076293945
2012-01-16 00:00:00-02:00,6.792751789093018,9.442233085632324,0.26635977625846863,2.1665589809417725,6.8255615234375,58.20000076293945
2012-01-17 00:00:00-02:00,6.837244987487793,9.442233085632324,0.2711459994316101,2.1665589809417725,6.8255615234375,58.20000076293945
2012-01-18 00:00:00-02:00,6.90921688079834,9.729692459106445,0.2703016996383667,2.228705644607544,6.955781936645508,60.79999923706055
2012-01-19 00:00:00-02:00,6.876501083374023,9.665812492370605,0.2722722291946411,2.217991590499878,6.977482795715332,60.93000030517578
2012-01-20 00:00:00-02:00,6.896127700805664,9.669803619384766,0.2739616632461548,2.228705644607544,7.005692481994629,61.400001525878906
2012-01-23 00:00:00-02:00,6.803221225738525,10.033121109008789,0.2745247483253479,2.232991933822632,6.988331317901611,61.52000045776367
2012-01-24 00:00:00-02:00,6.893514633178711,10.14091968536377,0.2703016996383667,2.230849504470825,7.033912658691406,61.599998474121094
2012-01-26 00:00:00-02:00,6.86995792388916,9.949278831481934,0.28437986969947815,2.2908527851104736,7.0990166664123535,62.04999923706055
2012-01-27 00:00:00-02:00,6.771817207336426,9.849467277526855,0.2911375164985657,2.333712339401245,7.15327262878418,62.029998779296875
2012-01-30 00:00:00-02:00,6.777049541473389,9.80954360961914,0.281564325094223,2.352999687194824,7.036073207855225,61.86000061035156
2012-01-31 00:00:00-02:00,6.804529666900635,9.80954360961914,0.2821274399757385,2.3551418781280518,6.8147053718566895,62.16999816894531
2012-02-01 00:00:00-02:00,6.896127700805664,9.961258888244629,0.2900112271308899,2.4730069637298584,6.7995123863220215,63.52000045776367
2012-02-02 00:00:00-02:00,6.90921688079834,9.793572425842285,0.29564258456230164,2.5030088424682617,6.8160200119018555,63.59000015258789
2012-02-03 00:00:00-02:00,7.0139007568359375,9.825512886047363,0.2866324484348297,2.5372962951660156,6.894186019897461,64.20999908447266
2012-02-06 00:00:00-02:00,6.900053977966309,9.925325393676758,0.2745247483253479,2.5372962951660156,6.894186019897461,64.19000244140625
2012-02-07 00:00:00-02:00,6.8307013511657715,10.2207670211792,0.279592901468277,2.552297353744507,6.911561489105225,64.94999694824219
2012-02-08 00:00:00-02:00,6.800604820251465,10.152899742126465,0.2779035270214081,2.5887277126312256,6.8898444175720215,64.77999877929688
2012-02-09 00:00:00-02:00,6.855565071105957,10.1808443069458,0.2787487208843231,2.5480120182037354,6.83990478515625,64.5199966430664
2012-02-10 00:00:00-02:00,6.824158668518066,9.382346153259277,0.28128230571746826,2.4858648777008057,6.711785793304443,63.04999923706055
2012-02-13 00:00:00-02:00,6.941928386688232,9.382346153259277,0.28128230571746826,2.6080150604248047,6.809962749481201,63.04999923706055
2012-02-14 00:00:00-02:00,6.955014705657959,9.266563415527344,0.2784666419029236,2.6380176544189453,6.751255989074707,64.01000213623047
2012-02-15 00:00:00-02:00,6.974641799926758,9.222648620605469,0.2871955633163452,2.5801563262939453,6.677334785461426,64.37999725341797
2012-02-16 00:00:00-02:00,7.117276668548584,9.534061431884766,0.2832536995410919,2.5201528072357178,6.718644618988037,65.01000213623047
2012-02-17 00:00:00-02:00,7.2952399253845215,9.601933479309082,0.2871955633163452,2.5201528072357178,6.699071407318115,65.12000274658203
2012-02-23 00:00:00-02:00,7.2101850509643555,9.550032615661621,0.3139437437057495,2.4987223148345947,6.592533111572266,64.86000061035156
2012-02-24 00:00:00-02:00,7.3946919441223145,9.773609161376953,0.3294302225112915,2.511580228805542,6.603399753570557,64.88999938964844
2012-02-27 00:00:00-03:00,7.458810806274414,9.721708297729492,0.33083757758140564,2.496579885482788,6.535998821258545,64.25
2012-02-28 00:00:00-03:00,7.512462139129639,9.713724136352539,0.3302744925022125,2.550154447555542,6.677334785461426,65.0
2012-02-29 00:00:00-03:00,7.605369567871094,9.70573902130127,0.3336532711982727,2.4622914791107178,6.783872127532959,64.73999786376953
2012-03-01 00:00:00-03:00,7.596486568450928,9.933309555053711,0.33140066266059875,2.5072948932647705,6.873020648956299,64.73999786376953
2012-03-02 00:00:00-03:00,7.725085258483887,10.100996017456055,0.3370320498943329,2.5780136585235596,6.9765729904174805,66.75
